id,daireKurul,esasNo,kararNo,kararTarihi
1089545000,3. Daire,2023/4653,2024/5331,15.10.2024
1089799200,3. Daire,2023/5162,2024/5335,15.10.2024
1090348500,3. Daire,2023/5573,2024/5336,15.10.2024
1090695300,3. Daire,2023/5869,2024/5337,15.10.2024
1083615300,2. Daire,2023/3590,2024/4804,14.10.2024
1085565600,3. Daire,2022/1526,2024/5244,10.10.2024
1090011700,6. Daire,2024/87,2024/5250,08.10.2024
1091373100,3. Daire,2024/1818,2024/5182,08.10.2024
1091373300,3. Daire,2024/4824,2024/5073,04.10.2024
1091422700,6. Daire,2024/4081,2024/5161,03.10.2024
1077728200,Vergi Dava Daireleri Kurulu,2023/652,2024/872,02.10.2024
1077728100,Vergi Dava Daireleri Kurulu,2023/602,2024/873,02.10.2024
1086519800,Vergi Dava Daireleri Kurulu,2023/426,2024/906,02.10.2024
1083612000,Vergi Dava Daireleri Kurulu,2024/242,2024/886,02.10.2024
1083612700,Vergi Dava Daireleri Kurulu,2023/462,2024/884,02.10.2024
1083612200,Vergi Dava Daireleri Kurulu,2023/461,2024/883,02.10.2024
1083612500,Vergi Dava Daireleri Kurulu,2024/104,2024/885,02.10.2024
1083612600,Vergi Dava Daireleri Kurulu,2024/336,2024/887,02.10.2024
1083612400,Vergi Dava Daireleri Kurulu,2024/337,2024/888,02.10.2024
1083612100,Vergi Dava Daireleri Kurulu,2024/173,2024/871,02.10.2024
1083791800,Vergi Dava Daireleri Kurulu,2024/62,2024/832,02.10.2024
1083842300,Vergi Dava Daireleri Kurulu,2024/72,2024/839,02.10.2024
1083813700,Vergi Dava Daireleri Kurulu,2024/70,2024/835,02.10.2024
1083816200,Vergi Dava Daireleri Kurulu,2024/70,2024/835,02.10.2024
1084021000,Vergi Dava Daireleri Kurulu,2023/1651,2024/833,02.10.2024
1084020900,Vergi Dava Daireleri Kurulu,2023/807,2024/837,02.10.2024
1083793600,Vergi Dava Daireleri Kurulu,2024/62,2024/832,02.10.2024
1083868100,Vergi Dava Daireleri Kurulu,2023/809,2024/831,02.10.2024
1083900100,Vergi Dava Daireleri Kurulu,2024/71,2024/838,02.10.2024
1083611300,Vergi Dava Daireleri Kurulu,2023/234,2024/820,02.10.2024
1083611000,Vergi Dava Daireleri Kurulu,2023/288,2024/818,02.10.2024
1083611400,Vergi Dava Daireleri Kurulu,2023/232,2024/819,02.10.2024
1083886500,Vergi Dava Daireleri Kurulu,2024/449,2024/841,02.10.2024
1083886400,Vergi Dava Daireleri Kurulu,2024/165,2024/834,02.10.2024
1084594000,Vergi Dava Daireleri Kurulu,2023/1736,2024/840,02.10.2024
1084608900,Vergi Dava Daireleri Kurulu,2023/1023,2024/918,02.10.2024
1084608800,Vergi Dava Daireleri Kurulu,2023/1070,2024/908,02.10.2024
1084907100,Vergi Dava Daireleri Kurulu,2023/431,2024/821,02.10.2024
1084608700,Vergi Dava Daireleri Kurulu,2023/800,2024/898,02.10.2024
